image,color_space,k,inertia,n_iter,silhouette_score,compression_ratio,unique_colors_before,unique_colors_after,output_path
picture.jpg,RGB,2,261719603.662,6,0.6894,4.2e-05,47119,2,data/processed/segmented_picture_k2.png
picture.jpg,RGB,3,126918500.78,16,0.621,6.4e-05,47119,3,data/processed/segmented_picture_k3.png
picture.jpg,RGB,5,69047213.344,30,0.518,0.000106,47119,5,data/processed/segmented_picture_k5.png
picture.jpg,RGB,8,41557213.509,49,0.4919,0.00017,47119,8,data/processed/segmented_picture_k8.png
picture_2.jpg,RGB,2,29221632.705,3,0.7829,0.000243,8231,2,data/processed/segmented_picture_2_k2.png
picture_2.jpg,RGB,3,12493797.555,10,0.7477,0.000364,8231,3,data/processed/segmented_picture_2_k3.png
picture_2.jpg,RGB,5,9557459.698,9,0.4656,0.000607,8231,5,data/processed/segmented_picture_2_k5.png
picture_2.jpg,RGB,8,4319147.215,13,0.4367,0.000972,8231,8,data/processed/segmented_picture_2_k8.png
picture_3.jpg,RGB,2,361822438.215,3,0.7329,0.000158,12631,2,data/processed/segmented_picture_3_k2.png
picture_3.jpg,RGB,3,323573896.372,9,0.6607,0.000238,12631,3,data/processed/segmented_picture_3_k3.png
picture_3.jpg,RGB,5,64041523.375,11,0.8354,0.000396,12631,5,data/processed/segmented_picture_3_k5.png
picture_3.jpg,RGB,8,60787289.664,40,0.797,0.000633,12631,8,data/processed/segmented_picture_3_k8.png
